OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_PROFILE_GROUP,By.CLASS_NAME,tab-profile-group,1232,0,184,62
CLASS_TAB_ENABLED_2,By.CLASS_NAME,tab-enabled-2,1416,0,184,62
CONTENT_PROFILE_OPTIONS_STYLE_VALITSE_MIELEISESI_PROFIILIS_VY,By.CSS_SELECTOR,.content-profile-options>.style-header>h2,1240,80,352,28
ALT_PANELPROFILE_GLOSS_WHITE_A104,By.CSS_SELECTOR,img[alt="panelprofile_gloss_white_a104"],1246,136,69,69
CONTENT_PROFILE_OPTIONS_STYLE_CONTAINER_LIST_DATA_SET_SAVE_BINT,By.CSS_SELECTOR,.content-profile-options>.style-container-list>div.style.data-set-save-data-bint>div.style-label,1322,152,272,33
ALT_PANELPROFILE_ANODISED_SILVER_A104,By.CSS_SELECTOR,img[alt="panelprofile_anodised_silver_a104"],1246,233,69,69
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
MEASURE_TITLE_MITTAA_JA_RAKENNA,By.CSS_SELECTOR,.section-measure>.section-title>span,0,694,533,23
DESIGN_TITLE_LIUKUOVIEN_SUUNNITTELU,By.CSS_SELECTOR,.section-design>.section-title>span,533,694,533,23
SAVE_TITLE_TALLENNUS_JA_YHTEYDENOTTO,By.CSS_SELECTOR,.section-save>.section-title>span,1067,694,533,23
CRUMB_1_ACTIVE,By.CSS_SELECTOR,div.crumb.crumb-1.active,100,754,19,19
CRUMB_2_ACTIVE,By.CSS_SELECTOR,div.crumb.crumb-2.active,180,754,19,19
CLASS_CURRENT,By.CLASS_NAME,current,260,754,19,19
CLASS_CRUMB_4,By.CLASS_NAME,crumb-4,342,757,13,13
CLASS_CRUMB_5,By.CLASS_NAME,crumb-5,422,757,13,13
DESIGN_CRUMB_THREEWAY_1,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-1,636,757,13,13
DESIGN_CRUMB_THREEWAY_2,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-2,796,757,13,13
DESIGN_CRUMB_THREEWAY_3,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.crumb-3,956,757,13,13
SAVE_CRUMB_THREEWAY_1,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-1,1169,757,13,13
SAVE_CRUMB_THREEWAY_2,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-2,1329,757,13,13
SAVE_CRUMB_THREEWAY_3,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.crumb-3,1489,757,13,13
LINE_1_ACTIVE,By.CSS_SELECTOR,div.line.line-1.active,107,761,80,1
LINE_2_ACTIVE,By.CSS_SELECTOR,div.line.line-2.active,187,761,80,1
CLASS_LINE_3,By.CLASS_NAME,line-3,267,761,80,1
CLASS_LINE_4,By.CLASS_NAME,line-4,347,761,80,1
DESIGN_CRUMB_THREEWAY_LINE_1,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.line-1,640,761,160,1
DESIGN_CRUMB_THREEWAY_LINE_2,By.CSS_SELECTOR,.section-design>.section-crumb-threeway>.line-2,800,761,160,1
SAVE_CRUMB_THREEWAY_LINE_1,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.line-1,1173,761,160,1
SAVE_CRUMB_THREEWAY_LINE_2,By.CSS_SELECTOR,.section-save>.section-crumb-threeway>.line-2,1333,761,160,1
